kelurahan,kecamatan,kabupaten,provinsi,kodepos
'KRUENG BATEE','TRUMON TENGAH','ACEH SELATAN','ACEH','23771'
'KRUENG BATEE','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
'LADANG RIMBA','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
'LADANG RIMBA','TRUMON TENGAH','ACEH SELATAN','ACEH','23777'
'LHOK RAYA','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
'NACA','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
'PULO PAYA','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
'KAMPUNG BARU','BAKONGAN','ACEH SELATAN','ACEH','23777'
'KEUDE BAKONGAN','BAKONGAN','ACEH SELATAN','ACEH','23773'
'UJUNG MANGKI','BAKONGAN','ACEH SELATAN','ACEH','23773'
'UJUNG PADANG','BAKONGAN','ACEH SELATAN','ACEH','23772'
'UJUNG PADANG','BAKONGAN','ACEH SELATAN','ACEH','23773'
'LADANG RIMBA','BAKONGAN TIMUR','ACEH SELATAN','ACEH','23775'
'LADANG RIMBA','BAKONGAN TIMUR','ACEH SELATAN','ACEH','23777'
'SAWAH TINGKEUM','BAKONGAN TIMUR','ACEH SELATAN','ACEH','23777'
'SEULEUKAT','BAKONGAN TIMUR','ACEH SELATAN','ACEH','23777'
'SIMPANG','BAKONGAN TIMUR','ACEH SELATAN','ACEH','23777'
'UJUNG PULO CUT','BAKONGAN TIMUR','ACEH SELATAN','ACEH','23777'
'UJUNG PULO RAYEUK','BAKONGAN TIMUR','ACEH SELATAN','ACEH','23777'
'ALURDUAMAS','KOTA BAHAGIA','ACEH SELATAN','ACEH','23778'
'BEUTONG','KOTA BAHAGIA','ACEH SELATAN','ACEH','23778'
'BUKIT GADING','KOTA BAHAGIA','ACEH SELATAN','ACEH','23778'
'JAMBO KEUPOK','KOTA BAHAGIA','ACEH SELATAN','ACEH','23778'
'RAMBONG','KOTA BAHAGIA','ACEH SELATAN','ACEH','23778'
'SENEUBOK ALUR BULAH','KOTA BAHAGIA','ACEH SELATAN','ACEH','23778'
'SEUNEUBOK KEURANJI','KOTA BAHAGIA','ACEH SELATAN','ACEH','23778'
'UJUNG TANOH','KOTA BAHAGIA','ACEH SELATAN','ACEH','23774'
'BARAT DAYA','KLUET SELATAN','ACEH SELATAN','ACEH','23772'
'GELUMBUK','KLUET SELATAN','ACEH SELATAN','ACEH','23772'
'INDRA DAMAI','KLUET SELATAN','ACEH SELATAN','ACEH','23772'
'JUA','KLUET SELATAN','ACEH SELATAN','ACEH','23772'
'KAPEH','KLUET SELATAN','ACEH SELATAN','ACEH','23772'
'KEDAI KANDANG','KLUET SELATAN','ACEH SELATAN','ACEH','23772'
'KEDAI RUNDING','KLUET SELATAN','ACEH SELATAN','ACEH','23772'
'LUAR','KLUET SELATAN','ACEH SELATAN','ACEH','23772'
